City Name,Cloudiness,Country,Date,Humidity,Max Temperature,Latitude,Longitude,Wind Speed
Copiapo,75,CL,1556989200,67,60.8,-27.37,-70.33,2.24
Sao Jose da Coroa Grande,10,BR,1556993412,62,84.52,-8.9,-35.15,10.49
Rundu,0,NA,1556989200,29,78.8,-17.91,19.77,3.36
San Jose,40,PH,1556993388,72,80.74,15.79,120.99,3.31
Ostrovnoy,61,RU,1556993579,86,28.36,68.05,39.51,16.44
Terrak,81,NO,1556993401,62,35.01,65.09,12.37,3.36
Pacasmayo,96,PE,1556993581,96,66.16,-7.4,-79.57,15.52
Tangier,20,GB,1556993568,32,55.0,51.02,-3.11,12.75
Rocha,44,UY,1556993584,79,65.44,-34.48,-54.34,11.52
Baykit,96,RU,1556993584,96,35.38,61.68,96.39,6.67
Wawa,86,NG,1556993577,30,97.3,9.9,4.41,3.24
Port Augusta,0,AU,1556993192,93,46.4,-32.49,137.76,4.7
Fjerritslev,4,DK,1556993404,53,46.99,57.08,9.27,6.93
Mozarlandia,34,BR,1556993587,51,90.1,-14.74,-50.57,5.08
Rexburg,1,US,1556993418,35,63.0,43.82,-111.79,10.29
Texarkana,90,US,1556993583,93,75.0,33.44,-94.04,5.82
Vanimo,98,PG,1556993589,78,80.38,-2.67,141.3,6.42
Maragogi,10,BR,1556993590,62,84.52,-9.01,-35.22,10.49
Daru,82,SL,1556993591,41,92.98,7.99,-10.85,2.86
Pokrovka,69,RU,1556993593,60,54.82,43.95,131.63,9.86
Masuguru,21,MZ,1556993593,94,71.92,-11.38,38.46,3.67
Chaiya,72,IN,1556993593,10,93.16,29.28,74.48,5.82
Recas,0,ES,1556993584,26,73.4,40.05,-3.99,5.82
Nemuro,33,JP,1556993596,78,42.58,43.32,145.57,4.12
Kargasok,85,RU,1556993596,87,46.9,59.06,80.87,8.55
Yerbogachen,75,RU,1556993525,86,36.82,61.28,108.01,10.49
Duverge,75,DO,1556989200,66,84.2,18.38,-71.52,13.87
Ranong,100,TH,1556993600,72,84.88,9.96,98.62,5.14
Praia,40,BR,1556993536,65,82.0,-20.25,-43.81,8.05
Kaka,44,TM,1556993602,20,79.84,37.35,59.62,10.0
Kokopo,100,PG,1556993603,98,72.28,-4.34,152.27,2.37
Ewa Beach,90,US,1556993422,88,78.8,21.32,-158.01,14.99
Birjand,0,IR,1556989200,13,71.6,32.86,59.22,11.41
Coffs Harbour,0,AU,1556991000,87,55.4,-30.3,153.13,8.05
Rio Grande,90,BR,1556989200,100,69.8,-32.03,-52.1,9.17
Narbonne,90,FR,1556993534,55,64.4,43.18,3.0,14.99
Kirovsk,75,RU,1556993606,77,29.26,67.62,33.66,5.97
Kuching,75,MY,1556991000,94,80.6,1.56,110.34,1.9
Cherskiy,4,RU,1556993608,94,20.26,68.75,161.3,6.29
Saint Anthony,1,US,1556993418,35,63.0,43.97,-111.68,10.29
Dicabisagan,14,PH,1556993610,90,74.44,17.08,122.42,0.45
Linqiong,40,CN,1556989200,93,66.2,30.42,103.46,1.45
Kampot,20,KH,1556991000,94,78.8,10.62,104.18,3.36
Tiznit,3,MA,1556993612,88,63.28,29.7,-9.73,14.23
San Luis,100,AR,1556993340,48,78.4,-33.3,-66.34,2.8
Palmer,90,AU,1556993271,71,59.0,-34.85,139.16,5.82
Bubaque,64,GW,1556993614,72,79.3,11.28,-15.83,25.55
Athens,90,US,1556993568,78,75.99,34.8,-86.97,4.7
Show Low,1,US,1556993416,11,73.99,34.25,-110.03,6.93
Iwanai,0,JP,1556993618,72,44.92,42.97,140.51,7.14
Guerrero Negro,27,MX,1556993620,91,59.5,27.97,-114.04,12.17
Jiuquan,100,CN,1556993622,43,60.58,39.73,98.49,23.04
Troitskoye,3,RU,1556993623,41,46.9,52.98,84.68,3.51
Pestretsy,0,RU,1556991000,58,53.6,55.75,49.66,6.71
Sola,20,NO,1556993419,61,46.4,58.89,5.65,31.09
Shache,100,CN,1556993626,10,68.68,38.42,77.24,12.66
Kayerkan,37,RU,1556989200,72,12.2,69.35,87.76,8.95
Linkuva,0,LT,1556990400,64,46.4,56.09,23.97,8.05
Half Moon Bay,75,US,1556993625,76,66.0,37.46,-122.43,8.05
Itacarambi,100,BR,1556993631,74,80.2,-15.1,-44.09,5.1
Mehamn,100,NO,1556993632,86,29.62,71.03,27.85,14.72
Tornio,90,FI,1556993422,86,37.4,61.12,27.27,5.82
Port Hedland,20,AU,1556991000,52,68.0,-20.31,118.58,9.17
Acapulco,20,MX,1556988420,62,84.2,16.86,-99.88,6.93
Vredendal,100,ZA,1556993633,73,61.84,-31.68,18.49,22.88
Kovdor,98,RU,1556993634,72,28.9,67.56,30.47,3.76
Gurun,75,MY,1556991000,88,80.6,5.82,100.48,10.29
Evensk,53,RU,1556993636,66,32.5,61.92,159.24,8.9
Barranca,78,PE,1556993637,96,64.0,-10.75,-77.76,11.97
Astoria,1,US,1556993600,71,61.0,46.19,-123.83,5.82
Alofi,100,NU,1556989200,94,77.0,-19.06,-169.92,4.7
Kimbe,100,PG,1556993639,95,73.9,-5.56,150.15,2.06
Surt,41,LY,1556993641,75,67.06,31.21,16.59,26.91
Havre-Saint-Pierre,90,CA,1556989200,65,41.0,50.23,-63.6,5.82
Nguru,100,NG,1556993642,9,98.38,12.88,10.45,5.53
Goderich,100,CA,1556993600,79,53.01,43.74,-81.71,1.99
Longyearbyen,20,NO,1556992200,53,21.2,78.22,15.63,13.87
Umtata,90,ZA,1556989200,71,57.2,-31.59,28.78,4.7
Manoel Urbano,80,BR,1556993649,41,94.6,-8.84,-69.26,3.62
Mount Gambier,90,AU,1556989200,87,50.0,-37.83,140.78,6.93
Springdale,90,US,1556993342,100,62.01,36.19,-94.13,8.05
Ust-Nera,63,RU,1556993653,88,22.24,64.57,143.24,1.05
Chernyshevskiy,98,RU,1556993528,89,36.46,63.01,112.47,11.36
Zaokskiy,0,RU,1556991000,75,46.4,54.73,37.4,2.24
Xuanhua,68,CN,1556993656,43,58.06,40.61,115.04,11.21
Port Moresby,29,PG,1556993658,85,79.48,-9.47,147.16,10.38
Muscat,0,OM,1556988600,46,89.6,23.6,58.55,1.12
Dharchula,0,IN,1556993658,25,41.68,29.85,80.53,12.17
Chifeng,52,CN,1556993660,51,43.84,42.27,118.96,24.79
Madang,100,PG,1556993661,99,66.52,-5.21,145.81,1.81
El Astillero,75,ES,1556993604,76,59.0,43.4,-3.82,8.05
Jijiga,42,ET,1556993663,60,65.26,9.35,42.8,4.65
Havelock,90,US,1556993513,61,84.99,34.88,-76.9,6.93
Pavlodar,0,KZ,1556991000,81,42.8,52.28,76.96,4.47
Vila Velha,20,BR,1556992800,55,86.0,-3.71,-38.6,18.34
Nelson,62,CA,1556993666,41,57.7,49.49,-117.29,4.5
Ambon,0,FR,1556993525,43,54.0,47.55,-2.56,16.11
Bumba,69,CD,1556993668,52,85.6,2.18,22.47,1.86
Borba,0,PT,1556992837,42,82.4,38.81,-7.46,4.7
Griffith,0,AU,1556989218,93,50.0,-34.29,146.06,9.17
Cajamarca,75,PE,1556991000,49,69.8,-7.16,-78.52,6.93
Atkarsk,27,RU,1556993670,67,58.42,51.88,45.01,8.63
Floro,88,NO,1556990400,52,42.8,61.6,5.03,17.22
Cayenne,90,GF,1556991000,74,84.2,4.94,-52.33,19.46
Mandera,98,ET,1556993672,48,90.1,3.94,41.86,8.84
Liancheng,100,CN,1556993674,96,64.36,24.05,105.06,2.93
Atambua,78,ID,1556993676,70,82.0,-9.11,124.89,9.33
Uniontown,75,US,1556993374,77,71.01,39.9,-79.72,9.17
Hami,99,CN,1556993678,22,73.18,42.84,93.51,12.48
Vung Tau,65,VN,1556993678,72,85.06,10.35,107.08,7.27
San Carlos,100,VE,1556993679,38,95.32,9.66,-68.59,3.8
Morwell,18,AU,1556992804,95,51.01,-38.24,146.4,1.5
Bud,75,NO,1556992863,65,42.8,62.91,6.91,14.99
Nampula,40,MZ,1556989200,83,75.2,-15.12,39.26,6.93
Fuente de Oro,89,CO,1556993682,57,79.48,3.46,-73.62,7.56
Pacific Grove,40,US,1556993461,82,66.99,36.62,-121.92,9.78
Arlit,57,NE,1556993683,7,92.62,18.74,7.39,1.95
Ornskoldsvik,100,SE,1556990400,69,37.4,63.29,18.72,16.11
